utterance,category
"I would like to change my shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"set up another shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I have got to set another shipping address up My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I have issues changing my shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"how can I set up a different shipping address? My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I need help to change my shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"can you help me to set another shipping address up? My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"help me to set another shipping address up My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I want help to change my shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I need help to change the shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I need assistance changing the shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"set a different shipping address up My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"could you help me setting a different shipping address up? My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I do not know how I could change my shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"can you tell me about changing my shipping address? My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I don't know what I need to do to change my shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I want information about a shipping address change My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"how can I set another shipping address up? My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"information about a shipping address change My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
i want assistance to modify the address I need to update my shipping address as I recently moved to a new place. Can you help me with that?,SHIPPING_ADDRESS
"I do not know how to set up another shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
"I would like information about changing my shipping address My package was supposed to arrive yesterday, but it's still not here. Could you check the tracking details?",SHIPPING_ADDRESS
